   F   |  Resp  | L Gain | R Gain | Total L Gain | Total R Gain
   10  |    +20 |        |  -1.29 |           0  |        -1.29
   50  |    +17 |        |  -2.39 |           0  |        -3.68
   80  |  +14.5 |        |  -1.03 |           0  |        -4.71
  300  |   +5.5 |        |   1.32 |           0  |        -3.39
  500  |     +3 |        |   0.38 |           0  |        -3.01
 2500  |     -4 |        |  -1.49 |           0  |        -4.50
 5000  |   -8.5 |        |  -0.65 |           0  |        -5.15    
 8000  |   -12  |        |  -0.85 |           0  |        -6.00




